{1 JetEta 1 JetPt 1./([0]+[1]*log10(0.01*x)+[2]/(x/10.0)) Correction L2L3Residual}
  -5.191 -2.853  5     40  1000    0.981887    0.008632   -0.002438
  -2.853 -2.650  5     40  1000    1.151130   -0.370686   -3.970261
  -2.650 -2.500  5     40  1000    1.118666   -0.283075   -3.405660
  -2.500 -2.322  5     40  1000    1.099256   -0.193980   -2.716920
  -2.322 -2.172  5     40  1000    1.154817   -0.188985   -3.058989
  -2.172 -1.930  5     40  1000    1.054615   -0.095902   -1.548023
  -1.930 -1.653  5     40  1000    1.091336   -0.171752   -1.838509
  -1.653 -1.479  5     40  1000    1.017587   -0.057712   -1.103692
  -1.479 -1.305  5     40  1000    1.000798   -0.009489   -0.507859
  -1.305 -1.044  5     40  1000    1.011501   -0.027039   -0.513716
  -1.044 -0.783  5     40  1000    0.979326    0.004734   -0.127678
  -0.783 -0.522  5     40  1000    0.994838   -0.001045   -0.135423
  -0.522 -0.261  5     40  1000    0.992115    0.002914   -0.032231
  -0.261 -0.000  5     40  1000    0.970661    0.021430    0.258272
   0.000  0.261  5     40  1000    0.970661    0.021430    0.258272
   0.261  0.522  5     40  1000    0.992115    0.002914   -0.032231
   0.522  0.783  5     40  1000    0.994838   -0.001045   -0.135423
   0.783  1.044  5     40  1000    0.979326    0.004734   -0.127678
   1.044  1.305  5     40  1000    1.011501   -0.027039   -0.513716
   1.305  1.479  5     40  1000    1.000798   -0.009489   -0.507859
   1.479  1.653  5     40  1000    1.017587   -0.057712   -1.103692
   1.653  1.930  5     40  1000    1.091336   -0.171752   -1.838509
   1.930  2.172  5     40  1000    1.054615   -0.095902   -1.548023
   2.172  2.322  5     40  1000    1.154817   -0.188985   -3.058989
   2.322  2.500  5     40  1000    1.099256   -0.193980   -2.716920
   2.500  2.650  5     40  1000    1.118666   -0.283075   -3.405660
   2.650  2.853  5     40  1000    1.151130   -0.370686   -3.970261
   2.853  5.191  5     40  1000    0.981887    0.008632   -0.002438
